company_name,company_address,company_phone_number,company_email_address,company_website
BCA EXPERTISE SAS,"14, rue Sarah Bernhardt 92665 ASNIÈRES-SUR-SEINE CEDEX France Ile-de-France Hauts-de-Seine",01 41 40 14 00,http://www.bca.fr/contactez-nous,www.bca.fr
BCAC,"4, place des Saisons 92400 COURBEVOIE France Ile-de-France Hauts-de-Seine",01 49 07 35 85,opotellet@bcac.fr,www.b2v.fr
BCF,"1, rue Jules Lefebvre 75431 PARIS CEDEX 09 France Ile-de-France Paris",01 53 21 50 80,bcf.courrier@bcf.asso.fr,www.bcf.asso.fr
BCR,"1, rue Jules Lefebvre 75431 PARIS CEDEX 09 France Ile-de-France Paris",01 53 21 51 45,,https://www.franceassureurs.fr/qui-sommes-nous/notre-environnement/organsismes-membres-du-gpsa/
BCT,"1, rue Jules Lefebvre 75009 PARIS France Ile-de-France Paris",01 53 21 50 40,bct@agira.asso.fr,www.bureaucentraldetarification.com
BELFIUS INSURANCE,Place Charles Rogier 11 B-1210 BRUXELLES Belgique,00 32 2 222 55 77,communication@belins.be,www.belfius-insurance.be
BIPAR,"Avenue Albert Elisabeth, 40 B-1200 BRUXELLES Belgique",00 32 2 735 60 48,bipar@bipar.eu,www.bipar.eu
BNP PARIBAS CARDIF,"1, boulevard Haussmann 75009 PARIS France Ile-de-France Paris",,,Not specified
BONDUELLE RE,"161, rue Nicolas Appert 59560 VILLENEUVE-D'ASCQ France Nord-Pas-de-Calais Nord",03 20 43 60 60,https://www.bonduelle.fr/nous-contacter,www.bonduelle.fr
BPCE ASSURANCES,"88, avenue de France 75013 PARIS France Ile-de-France Paris",09 69 36 45 45,assur-mvn-communication@bpce.fr,https://www.assurances.groupebpce.com/
BPCE IARD,Chaban 79180 CHAURAY France Nouvelle-Aquitaine Deux-Sèvres,09 80 98 69 86,assur-mnv-communication@bpce.fr,https://www.assurances.groupebpce.com/
BPCE MUTUELLE,"7, rue Léon Patoux 51686 REIMS CEDEX 2 France Grand-Est Marne",03 26 77 66 03,bpcemutuelle@eps.caisse-epargne.fr,www.bpcemutuelle.fr
BPCE PRÉVOYANCE,"30, avenue Pierre Mendès-France 75013 PARIS France Ile-de-France Paris",01 58 19 90 00,caroline.tordjman@natixis.com,www.assurances.natixis.com
BPCE VIE,"30, avenue Pierre Mendès-France 75013 PARIS France Ile-de-France Paris",01 58 19 90 00,caroline.tordjman@natixis.com,www.assurances.natixis.com
BPI VIDA COMPANHIA DE SEGUROS DE VIDA SA,"Rua Braamcamp, 11-5° 1250-049 LISBOA Portugal",00 351 217 207 761,investor_relations@bancobpi.pt,www.bancobpi.pt
BRIT INSURANCE,The Leadenhall Building 122 Leadenhall Street EC3V 4AB LONDON Grande-Bretagne,00 44 20 3857 0000,enquiries@britinsurance.com,www.britinsurance.com
BTP PRÉVOYANCE,"7, rue du Regard 75294 PARIS CEDEX 06 France Ile-de-France Paris",01 49 54 40 00,https://www.probtp.com/ext/chargerNousEcrire.do?profil=PAR,www.probtp.com
BUREAU VERITAS,"Immeuble Newtime 40/52, boulevard du Parc 92200 NEUILLY-SUR-SEINE France Ile-de-France Hauts-de-Seine",01 55 24 70 00,https://www.bureauveritas.fr/contact,www.bureauveritas.fr
CAIRS ASSURANCE,"12, place des États-Unis 92547 MONTROUGE France Ile-de-France Hauts-de-Seine",01 43 23 52 02,externalcommunications@ca-cib.com/pressrelations@ca-cib.com,www.ca-cib.com
CAISSE D'ACTION SOCIALE DU PERSONNEL DES FINANCES DU HAUT-RHIN,"6, rue Bruat 68000 COLMAR France Grand-Est Haut-Rhin",03 89 24 53 53,caisse.action.sociale.68@gmail.com,Not specified
CAISSE D'ACTION SOCIALE DU PERSONNEL DES FINANCES PUBLIQUES DU BAS-RHIN,"Direction Régionale Finances Publiques Bas-Rhin 4, place de la République 67000 STRASBOURG France Grand-Est Bas-Rhin",06 82 19 97 77,casperfip67@gmail.com,Not specified
CAISSE DE GARANTIE IMMOBILIERE DU BÂTIMENT,"6, rue La Pérouse 75784 PARIS CEDEX 16 France Ile-de-France Paris",01 47 20 45 45,contact@cgibat.fr,www.cgibat.fr
CAISSE DE PRÉVOYANCE DU PORT DE BORDEAUX,"152, quai de Bacalan 33042 BORDEAUX CEDEX France Nouvelle-Aquitaine Gironde",05 56 90 59 20,mutuelle-bordeaux-port.fr,https://vyv-partenariat.fr/mutuelles/cppb/
CAISSE DE RÉASSURANCE MUTUELLE AGRICOLE DES PRODUCTEURS DE TABAC,"2, rue de Rome 67013 STRASBOURG France Lorraine",03 88 19 17 60,olivier.riedinger@crmapt.fr,www.groupama.fr
CAISSE DE SECOURS ETS STÄUBLI FAVERGES,Place Robert Stäubli 74210 FAVERGES France Auvergne - Rhône-Alpes Haute-Savoie,04 50 32 42 77,cestaubli@wanadoo.fr,www.cestaubli.fr
CAISSE DE SOLIDARITÉ,"Bâtiment 2, Site Adhishat de l'Arsenal Rue Kléber 65000 TARBES France Occitanie Haute-Garonne",,,Not specified
CAISSE FRATERNELLE D'ÉPARGNE,"150, rue d'Athènes 59777 EURALILLE France Hauts-de-France Nord",03 20 63 37 00,https://www.groupama.com/fr/journaliste/contact,www.groupama.fr
CAISSE FRATERNELLE VIE,"150, rue d'Athènes 59777 EURALILLE France Hauts-de-France Nord",03 20 63 37 00,https://www.groupama.com/fr/journaliste/contact/,www.groupama.fr
CAISSE GÉNÉRALE DE PRÉVOYANCE DES CAISSES D'ÉPARGNE,"30, place d'Italie 75627 PARIS CEDEX 13 France Ile-de-France Paris",01 44 76 12 00,retraite.cgp@eps.caisse-epargne.fr,www.ensembleprotectionsociale.fr
CAISSE INTERCOMMUNALE D'ASSURANCES DES DÉPARTEMENTS DE L'EST,"50, rue du Prunier               68027 COLMAR CEDEX France Grand-Est Haut-Rhin",03 89 20 18 80,info@ciade.fr,www.ciade.eu
CAISSE MEUSIENNE D’ASSURANCES MUTUELLES,"22, rue du Docteur Nève 55001 BAR-LE-DUC CEDEX France Grand-Est Meuse",03 29 79 30 79,http://www.cmam.fr/index.php/contact/,www.cmam.fr
CAISSE MUTUELLE DE PRÉVOYANCE DU PERSONNEL DES COLLECTIVITÉS TERRITORIALES DE LA HAUTE-SAVOIE - MUTAME SAVOIE,"Maison de a Fonction Publique Territoriale de la Haute-Savoie 55, rue du Val Vert 74600 SEYNOD France Auvergne - Rhône-Alpes Savoie",04 50 33 11 36,contact@mutame74.com,https://www.mutame74.com
CAISSE MUTUELLE MARNAISE D’ASSURANCE,"3, cours d’Ormesson 51000 CHALONS-EN-CHAMPAGNE France Grand-Est Marne",03 26 69 50 50,https://www.cmma.fr/fr/j-envoie-un-message.html,www.cmma.fr
CAISSE RÉUNIONNAISE DE PRÉVOYANCE,"2 bis, ruelle Pavée 97475 SAINT-DENIS-DE-LA-RÉUNION CEDEX France La Réunion",02 62 90 01 00,communication@groupecrc.com,www.groupecrc.com
CALI EUROPE,"31/33, avenue Pasteur L-2310 LUXEMBOURG Luxembourg",00 352 26 26 70 30,marketing.sales@calie.lu,www.cali-europe.com
CAM BTP - GROUPE CAM,"Espace Européen de l'Entreprise 14, avenue de l'Europe 67300 SCHILTIGHEIM France Grand-Est Bas-Rhin",,,Not specified
CAMCA,"53, rue La Boétie 75008 PARIS France Ile-de-France Paris",01 44 95 18 80,https://www.ca-camca.fr/nous-rejoindre/nous-contacter/,www.ca-camca.fr
CAMCA ASSURANCE SA,"32, avenue de la Liberté L-1930 LUXEMBOURG Luxembourg",00 352 40 20 99 1,camca-ass@camca.lu/info@camca.lu,www.camca.lu
CAP MUTUALITÉ,"5, rue Dosne 75116 PARIS France Ile-de-France Paris",01 42 12 72 27,contact@mncap.fr,www.mncap.fr
CAPMA & CAPMI,"36/38, rue de Saint-Pétersbourg 75008 PARIS France Ile-de-France Paris",01 49 95 79 79,https://www.monceauassurances.com/formulaire-de-contact,www.monceauassurances.com
CAPREVAL,"21, rue Laffitte 75317 PARIS CEDEX 09 France Ile-de-France Paris",01 56 03 34 56,https://www.malakoffhumanis.com/contact/,www.malakoffhumanis.com
CAPSSA,"2 ter, boulevard Saint-Martin 75010 PARIS France Ile-de-France Paris",01 48 03 90 90,contact@capssa.fr,www.capssa.fr
CARAC,"159, avenue Achille Peretti 92577 NEUILLY-SUR-SEINE CEDEX France Ile-de-France Hauts-de-Seine",09 69 32 50 50,https://www.carac.fr/contactez-nous,www.carac.fr
CARCEPT ACCIDENT,"4, rue Georges Picquart 75017 PARIS France Ile-de-France Paris",01 80 60 50 00,carceptaccident@klesia.fr,www.klesia.fr
CARCEPT-PRÉVOYANCE,"4, rue Georges Picquart 75017 PARIS France Ile-de-France Paris",01 80 60 50 00,https://www.klesia.fr/web/professionnels/contact,www.klesia.fr/www.carcept-prev.fr
CARCO,"15, avenue de l'Opéra 75001 PARIS France Ile-de-France Paris",01 40 39 92 84,secretariatgeneral@carcoehj.fr,www.carcoehj.fr
CARDIF ASSURANCE VIE,"1, boulevard Haussmann 75009 PARIS France Ile-de-France Paris",,,Not specified
CARDIF IARD,"1, boulevard Haussmann 75009 PARIS France Ile-de-France Paris",,,Not specified
CARDIF LUX VIE,"23/25, avenue de la Porte-Neuve L-2227 LUXEMBOURG Luxembourg",00 352 26 214 1,info@cardifluxvie.lu,www.cardifluxvie.com
CARDIF-ASSURANCES RISQUES DIVERS,"1, boulevard Haussmann 75009 PARIS France Ile-de-France Paris",,,Not specified
CARITAT,"5, rue Tronchet 75008 PARIS France Ile-de-France Paris",01 44 51 04 00,info@caritat.fr,www.caritat.fr
CARMA,"6, rue du Marquis de Raies 91008 ÉVRY CEDEX France Ile-de-France Essonne",01 60 79 67 55,https://www.groupe-carma.com/contact/,www.groupe-carma.com
CARMA VIE,"ZAE Saint Guénault 1, rue Jean Mermoz 91002 ÉVRY CEDEX France Ile-de-France Essonne",01 60 79 67 55,https://www.groupe-carma.com/contact/,www.groupe-carma.com
CARPILIG PRÉVOYANCE,"108, rue de Lourmel 75718 PARIS CEDEX 15 France Ile-de-France Paris",01 40 60 20 00,contact-entreprises@lourmel.asso.fr,www.lourmel.com
CARRÉ EXPERT AUTO (ARD),"41, rue des Plantes 75014 PARIS France Ile-de-France Paris",01 84 82 60 10,contact@carre-expert-auto.org,www.carre-expert-auto.org
CAVAMAC,"30, rue Olivier Noyer 75676 PARIS CEDEX 14 France Ile-de-France Paris",01 81 69 36 01,https://www.cavamac.fr/contact/,www.cavamac.fr
CCEF,"6, avenue Mac Mahon 75017 PARIS France Ile-de-France Paris",01 44 94 27 70,contact@ccef.net/ccefsl@orange.fr,www.ccef.net
CCLRF,"Secrétariat Général 4, place de Budapest 75436 PARIS CEDEX 09 France Ile-de-France Paris",01 42 92 42 92,cclrf@banque-france.fr,www.cclrf.org
CCMO MUTUELLE,"PAE du Haut-Villé 6, avenue du Beauvaisis 60014 BEAUVAIS CEDEX France Hauts-de-France Oise",03 44 06 90 00,accueil@ccmo.fr,www.ccmo.fr
CCPMA PRÉVOYANCE,"21, rue de la Bienfaisance 75008 PARIS France Ile-de-France Paris",01 71 21 00 00,https://www.groupagrica.com/contactez-nous,www.groupagrica.com
CCR,"157, boulevard Haussmann 75008 PARIS France Ile-de-France Paris",01 44 35 31 00,https://www.ccr.fr/nous-contacter,www.ccr.fr
CCR RE,"157, boulevard Haussmann 75008 PARIS France Ile-de-France Paris",01 44 35 31 00,https://www.ccr-re.com/en/contact-us,www.ccr-re.com
CCSF,"Secrétariat Général du CCSF, Banque de France, Code Courrier S3D-1427 39, rue Croix-des-Petits-Champs 75049 PARIS CEDEX 01 France Ile-de-France Paris",01 42 92 27 10,ccsfin@banque-france.fr,www.ccsfin.fr
CDC MUTUELLE,"12, avenue Pierre Mendès-France 75013 PARIS France Ile-de-France Paris",01 58 50 45 45,siege@cdc-mutuelle.org,www.cdc-mutuelle.org
CDIA,"26, boulevard Haussmann 75311 PARIS CEDEX 09 France Ile-de-France Paris",01 42 47 90 00,https://www.ffa-assurance.fr/content/contacter-la-federation-francaise-de-assurance,www.ffa-assurance.fr
CEA,"Maison de l’Expertise 37, rue de la Rochefoucauld 75009 PARIS France Ile-de-France Paris",01 53 21 83 33,cea@expert-cea.com,www.expert-cea.com
CENTRE MUTUALISTE INTERPROFESSIONNEL,"53, avenue de Senlis 60803 CRÉPY-EN-VALOIS CEDEX France Hauts-de-France Oise",03 44 55 13 72,contact@cmip.fr,www.cmip.fr
CESAM,"11/15, rue Saint Georges 75009 PARIS France Ile-de-France Paris",01 58 56 96 00,info@cesam.org,www.cesam.org
CESCE,"Velázquez, 74 28001 MADRID Espagne",00 34 902 111 010,madrid@cesce.es/cesce@cesce.com/relaseg@cesce.es,www.cesce.es/com
CFDP ASSURANCES,"Immeuble l'Europe 69, rue de Bonnel 69003 LYON France Auvergne - Rhône-Alpes Rhône",04 26 04 12 50,https://www.cfdp.fr/decouvrir-cfdp/aide-infos-contact/nous-contacter/,www.cfdp.fr
CFDT CADRES,"Union Confédérale des Ingénieurs et Cadres CFDT 47, avenue Simon Bolivar 75950 PARIS CEDEX 19 France Ile-de-France Paris",01 56 41 55 00,contact@cadres.cfdt.fr,www.cadrescfdt.fr
CFEC,"28, rue de Solférino 92100 BOULOGNE-BILLANCOURT France Ile-de-France Hauts-de-Seine",01 46 21 52 52,cfec.expertsconstruction@wanadoo.fr,www.cfec-experts.fr
CGPA,"125, rue de la Faisanderie 75773 PARIS CEDEX 16 France Ile-de-France Paris",01 44 01 00 80,,www.cgpa.fr
CGPC,"32, place Saint-Georges 75009 PARIS France Ile-de-France Paris",01 40 06 08 08,contact@cgpc.fr,www.cgpc.fr
CGT COORDINATION ILE-DE-FRANCE DES SYNDICATS DU PERSONNEL DE LA BANQUE ET DE L'ASSURANCE,"Bourse du Travail de Paris 3, rue du Château d'Eau 75010 PARIS France Ile-de-France Paris",01 44 84 50 00,,Not specified
CHUBB EUROPEAN GROUP SE (CEG),"La Tour Carpe Diem, Esplanade Nord 31, place des Corolles 92400 COURBEVOIE  Ile-de-France Paris",01 80 20 15 45,https://www.chubb.com/fr-fr/nous-contacter.html,www.chubb.com/fr-fr
CHUBB IRELAND,International Financial Services Centre 5 George’s Dock  DUBLIN Irlande,00 353 1 440 1700,https://www.chubb.com/ie-en/contact-us/,https://www.chubb.com/ie-en/
CHUBB LIFE EUROPE SA,"Tour Carpe Diem, Esplanade Nord 31, place des Corolles 92400 COURBEVOIE France Ile-de-France Hauts-de-Seine",01 80 20 15 45,https://www.chubb.com/fr-fr/nous-contacter.html,https://www.chubb.com/fr
CHUBB UK,100 Leadenhall Street EC3A 3BP LONDON Grande-Bretagne,00 44 20 7173 7000,https://www.chubb.com/uk-en/contact-us/,www.chubb.com/uk
CIGNA LIFE INSURANCE COMPANY OF EUROPE SA-NV,Plantin en Moretuslei 309 B-2140 ANTWERPEN Belgique,00 32 2 740 27 50,cigna.belgium@cigna.com,www.cigna.be
CIPREV,"9, avenue Victor Hugo 88000 ÉPINAL France Lorraine Vosges",03 29 69 21 21,contact@groupevictorhugo.com,www.groupevictorhugo.com
CIRNS,"24/26, rue du Four de Préau 01450 CERDON France Auvergne - Rhône-Alpes Ain",04 74 34 85 05,cirnsa@cegetel.net,Not specified
CIVIS,"90, avenue de Flandre 75019 PARIS France Ile-de-France Paris",01 53 26 25 25,giecivis@civis.fr,www.civis.fr
CMAV,"21, rue Laffitte 75317 PARIS CEDEX 09 France Ile-de-France Paris",01 56 03 34 56,https://www.malakoffhumanis.com/contact/,www.malakoffhumanis.com
CNA HARDY,20 Fenchurch Street EC3M 3BY LONDON Grande-Bretagne,00 44 20 7743 6800,http://www.cnahardy.co.uk/contacts/office-locations,www.cnahardy.co.uk
CNCEF,"103, boulevard Haussmann 75008 PARIS France Ile-de-France Paris",01 56 26 06 01,contact@cncef.org,www.cncef.org
CNCEF Assurance,"103, boulevard Haussmann 75008 PARIS France Ile-de-France Paris",01 56 26 06 01,contact@cncef.org,www.cncef.org
CNCEF CRÉDIT,"103, boulevard Haussmann 75008 PARIS France Ile-de-France Paris",01 56 26 06 01,contact@cncef.org,https://www.cncef.org
CNCGP,"4, rue de Longchamp 75016 PARIS France Ile-de-France Paris",01 42 56 76 50,info@cncgp.fr,www.cncgp.fr
CNES,"16, rue de la Grange Batelière 75009 PARIS France Ile-de-France Paris",01 45 58 18 00,contact@experts-cnes.fr,www.experts-cnes.fr
CNM PRÉVOYANCE SANTÉ,"93A, rue Oberkampf 75553 PARIS CEDEX 11 France Ile-de-France Paris",01 44 62 33 40,contact@cnmsante.fr/agence@cnmsante.fr,www.cnmsante.fr
CNP ASSURANCES,"4, promenade Cœur de Ville 92130 ISSY-LES-MOULINEAUX France Ile-de-France Hauts-de-Seine",01 42 18 88 88,https://www.cnp.fr/Contacter-CNP-Assurances,www.cnp.fr
CNP CAUTION,"4, promenade Cœur de Ville 92130 ISSY-LES-MOULINEAUX France Ile-de-France Hauts-de-Seine",01 42 18 88 88,https://www.cnp.fr/le-groupe-cnp-assurances/qui-sommes-nous/nos-activites/notre-metier,www.cnp.fr
CNPP GROUPE,Route de la Chapelle Réanville - CD 64 27950 SAINT-MARCEL France Normandie Eure,02 32 53 63 39,contact@cnpp.com,www.cnpp.com
CNSCRA,"Tour de l'Hormoge 4, place Louis Armand 75014 PARIS France Ile-de-France Paris",06 11 48 07 68,cnscra@cnscra.fr,www.cnscra.fr
COFACE,"1, place Costes et Bellonte 92270 BOIS-COLOMBES France Hauts-de-Seine Ile-de-France",01 49 02 20 00,https://www.coface.fr/formulaire_contact/form/4119,www.coface.fr
COFACE PKZ ZAVAROVALNICA DD,Davcna Ulica 1 1000 LJUBLJANA Slovénie,00 386 1 200 58 00,Info-si@coface.com,www.coface-pkz.si
COFACE SA,"1, place Costes et Bellonte 92270 BOIS-COLOMBES France Ile-de-France Hauts-de-Seine",01 49 02 20 00,http://www.coface.fr/formulaire_contact/form/4119,www.coface.fr
COLOMBE ASSURANCES,"2A, place de Paris L-1025 LUXEMBOURG Luxembourg",00 352 40 05 44 1,contact@collaur.lu,Not specified
COMITÉ DES ASSUREURS ANTILLES GUYANE,"MBE à 124, Immeuble Fresneau Boulevard de Hoëlbourg 97122 BAIE-MAHAULT France Guadeloupe",,cca972@orange.fr,www.ewag.fr
COMITÉ DES SOCIÉTÉS D'ASSURANCE DE LA NOUVELLE-CALÉDONIE,/ NOUMÉA CEDEX France Nouvelle-Calédonie,,,Not specified
COMPAGNIE EUROPÉENNE DE GARANTIES ET CAUTIONS,"Tour Kupka B 16, rue Hoche 92919 PARIS-LA-DÉFENSE CEDEX France Ile-de-France Hauts-de-Seine",01 58 19 85 85,https://www.c-garanties.com/nous-contacter,www.c-garanties.com
COMPLÉVIE,"6, rue des Mouettes 14000 CAEN France Normandie Calvados",02 31 50 35 50,https://complevie.fr/agences/agence-de-caen/,www.complevie.fr
CONSERVATOIRE NATIONAL DES ARTS ET MÉTIERS,"292, rue Saint-Martin 75003 PARIS France Ile-de-France Paris",01 40 27 20 00,http://www.cnam.fr/contacts/,www.cnam.fr
CORUM LIFE,"1, rue Euler 75008 PARIS France Ile-de-France Paris",01 73 31 87 02,corum@corum.fr,www.corum.fr
COSEC COMPANHIA DE SEGURO DE CREDITOS SA,"Avenida da Liberdade 249, 6° piso 1250-143 LISBOA Portugal",00 351 217 913 700,cosec@cosec.pt,www.cosec.pt
COVÉA COOPÉRATIONS,"14, boulevard Marie et Alexandre Oyon 72030 LE MANS CEDEX 9 France Pays-de-la-Loire Sarthe",02 43 41 89 80,https://www.covea.eu/nous-contacter/,www.covea.eu
COVÉA PROTECTION JURIDIQUE,"33, rue de Sydney 72045 LE MANS CEDEX 2 France Pays-de-la-Loire Sarthe",09 69 39 56 59,https://www.covea.eu/nous-contacter/,www.covea-pj.fr
CPCEA,"21, rue de la Bienfaisance 75008 PARIS France Ile-de-France Paris",01 71 21 00 00,https://www.groupagrica.com/contactez-nous,www.groupagrica.com
CPCEA RETRAITE SUPPLÉMENTAIRE,"21, rue de la Bienfaisance 75008 PARIS France Ile-de-France Paris",01 71 21 00 00,https://www.groupagrica.com/contactez-nous,www.groupagrica.com
CREDENDO - EXCESS & SURETY,Avenue Roger Vandendriessche 18 B-1150 BRUXELLES Belgique,00 32 2 774 42 40,jb.leborgne@credendo.com,www.credendo.com
CREDENDO - SHORT TERM NON-EU RISKS,Rue Montoyer 3 B-1000 BRUXELLES Belgique,00 32 2 788 88 00,a.latreche@credendo.com,www.credendo.com
CREDENDO - SINGLE RISK INSURANCE AG,"Wohllebengasse, 4 A-1040 WIEN Autriche",00 43 1 505 28 96,a.duperrex@credendo.com,www.credendo.com
CREPSA,"4, place des Saisons 92400 COURBEVOIE France Ile-de-France Hauts-de-Seine",01 49 07 30 00,https://www.b2v.fr/contact/,www.b2v.fr
CRP-BTP,Route de la Providence Rue Amédée Abarre 97176 LES ABYMES CEDEX France Guadeloupe,05 90 82 22 57,http://www.arpbtpag.com/crp/web/node1_12659/laisser-un-e-mail,www.arpbtpag.com
CRÉDIT AGRICOLE ASSURANCES,"16/18, boulevard de Vaugirard 75015 PARIS France Ile-de-France Paris",,,Not specified
"CSOB POJIST’OVNA, AS",Masarykovo Namesti 1458 53002 PARDUBICE République Tchèque,00 420 466 100 777,info@csobpoj.cz,www.csobpoj.cz
CTIF,"Bureau permanent du CTIF, Fire Association Slovenia Trzaska 221 1000 LJUBLJANA Slovénie",00 386 1 241 97 54,contact@ctif.org,www.ctif.org
CTIP,"10, rue Cambacérès 75008 PARIS France Ile-de-France Paris",01 42 66 68 49,ctip@ctip.asso.fr/clerc@ctip.asso.fr,www.ctip.asso.fr
DASSAUT RÉASSURANCE,"78, quai Marcel Dassault 92210 SAINT-CLOUD France Ile-de-France Hauts-de-Seine",01 47 11 40 00,,http://www.dassault-aviation.com/fr
DKV LUXEMBOURG SA,"11/12, rue Jean Fischbach L-3372 LEUDELANGE Luxembourg",00 352 42 64 64 1,info@dkv.lu,www.dkv.lu
ELINI,Avenue Jules Bordet 166 B.3 B-1140 BRUXELLES Belgique,00 32 2 726 20 84,info@elini.net,www.elini.net
EMANI EUROPEAN MUTUAL ASSOCIATION FOR NUCLEAR INSURANCE,"Avenue Jules Bordet 166, B.4 B-1140 BRUXELLES Belgique",00 32 2 702 90 10,https://www.emani.be/contact.php,www.emani.be
EMOA MUTUELLE DU VAR,"89, place de la Liberté 83091 TOULON CEDEX France Provence - Alpes-Côte d'Azur Var",,,Not specified
ENASS,"41, rue Gay Lussac 75005 PARIS France Ile-de-France Paris",01 44 10 79 50,http://www.enass.fr/contacts-et-acces/,www.enass.fr
ENDYA,"10, rue Auber 75009 PARIS France Ile-de-France Paris",01 76 46 18 55,contact-assurance@endya.fr,https://www.endya.fr/
ENERGIE MUTUELLE,"66, avenue du Maine 75014 PARIS France Ile-de-France Paris",09 69 32 37 37,https://www.energiemutuelle.fr/nous-contacter,www.energiemutuelle.fr
EPA,"60, boulevard Vauban 59800 LILLE France Hauts-de-France Nord",03 20 13 40 96,administration@epassurances.fr,www.epassurances.fr
EQUITÉ (L'),"2, rue Pillet-Will 75009 PARIS France Ile-de-France Paris",01 58 38 10 10,https://www.generali.fr/points-contact/,www.generali.fr
ERGO REISEVERSICHERUNG AG,Thomas-Dehler-Strasse 2 81737 MÜNCHEN Allemagne,00 49 89 4166 00,sabine.muth@ergo-versicherung.de,www.ergo-reiseversicherung.de
ESA,"13, rue Fernand Léger 75020 PARIS France Ile-de-France Paris",01 85 73 31 00,contact@esassurances.com,www.esassurances.com
ESCP EUROPE,"ECSP Europe Campus Paris 79, avenue de la République 75543 PARIS CEDEX 11 France Ile-de-France Paris",01 49 23 20 00,info@escpeurope.eu,https://escp.eu/fr
ESPACE MUTUALISTE GIVORDIN - MTRG,"1, rue Robespierre 69700 GIVORS France Bourgogne - Franche-Comté Rhône",04 78 73 10 49,https://www.mtrg.fr/agences-givors-14-37.php#form-contact,https://www.mtrg.fr/page-qui-sommes-nous--1.php
ETOILE (L’),"16, avenue Hoche 75008 PARIS France Ile-de-France Paris",01 56 26 53 35,etoile@etoile-assurance.fr,www.etoile-assurance.fr
EURESA,"151, rue Royale B-1210 BRUXELLES Belgique",,,Not specified
EURIA,"UFR des Sciences et Techniques, Batiment N 6, avenue Le Gorgeu 29238 BREST CEDEX 3 France Bretagne Finistère",02 98 01 66 55,euria@univ-brest.fr,www.euria.univ-brest.fr
EURO-AVIATION VERSICHERUNGS-AG,Hochallee 80 D-20149 HAMBURG Allemagne,00 49 40 445941,info@euroaviation.de,www.euroaviation.de
EUROMAF,"189, boulevard Malesherbes 75786 PARIS CEDEX 17 France Ile-de-France Paris",01 53 70 30 00,https://www.maf.fr/nous-contacter,www.maf.fr/euromaf
EUROP ASSISTANCE France,"11/17, avenue François Mitterrand 93210 SAINT-DENIS France Ile-de-France Seine-Saint-Denis",01 41 85 93 65,https://www.europ-assistance.fr/fr/contactez-nous,www.europ-assistance.fr
FBD INSURANCE PLC,FBD House Bluebell  DUBLIN 12 Irlande,00 353 1 409 3200,info@fbd.ie,www.fbd.ie
FECFO,"54, rue d’Hauteville 75010 PARIS France Ile-de-France Paris",01 48 01 91 91,fecfo@force-ouvriere.fr/assurances@fecfo.fr,www.fecfo.fr
FERMA,"273, avenue de Tervueren B-1150 BRUXELLES Belgique",00 32 2 761 94 32,enquiries@ferma.eu,www.ferma.eu
FFEA,"41/43, rue des Plantes 75014 PARIS France Ile-de-France Paris",01 45 40 40 40,accueil@ffe.fr,www.ffea.fr
FFSAA,"26, boulevard Haussmann 75009 PARIS France Ile-de-France Paris",01 42 47 93 03,support@franceassureurs.fr,www.franceassureurs.fr
FGAO,"64 bis, avenue Aubert 94682 VINCENNES CEDEX France Ile-de-France Val-de-Marne",01 43 98 77 00,https://www.fondsdegarantie.fr/nous-contacter/,www.fondsdegarantie.fr
FGTI,"64 bis, avenue Aubert 94682 VINCENNES CEDEX France Ile-de-France Val-de-Marne",01 43 98 77 00,https://www.fondsdegarantie.fr/nous-contacter/,www.fondsdegarantie.fr
FIATC MUTUA DE SEGUROS Y REASEGUROS,"Avenida Diagonal, 648 08017 BARCELONA Espagne",00 34 917 015 757,fiatc@fiatc.es,www.fiatc.es
FIDÉLIA ASSISTANCE,"27, quai Carnot 92212 SAINT-CLOUD CEDEX France Ile-de-France Hauts-de-Seine",01 47 11 12 00,http://www.fidelia-assistance.fr/contact.html,www.fidelia-assistance.fr
FIEA,"41/43, rue des Plantes 75014 PARIS France Ile-de-France Paris",01 84 82 60 11,communication@fiea.org,www.fiea.org
FILASSISTANCE INTERNATIONAL,"108, Bureaux de la Colline 92213 SAINT-CLOUD CEDEX France Ile-de-France Hauts-de-Seine",01 47 11 24 24,https://www.filassistance.fr/nous-contacter/,www.filassistance.fr
FINANCIERE IUSTITIA,"18, avenue Matignon 75008 PARIS France Ile-de-France Paris",,,Not specified
FM GLOBAL,"1, route d’Esch L-1470 LUXEMBOURG Luxembourg",00 44 1753 750 000,https://www.fmglobal.com/report-contact-page/general-contact-form,www.fmglobal.com
FMBA,"60, avenue Jean Mermoz 69284 LYON CEDEX 08 France Provence - Alpes-Côte d'Azur Bouches-du-Rhône",04 78 77 35 68,secretariat.fmba@gmail.com,https://fmba-assurances.com/fr/accueil-home
FNSPF,"UES des Sapeurs-Pompiers 32, rue Bréguet 75011 PARIS France Ile-de-France Paris",01 49 23 18 18,web@pompiers.fr,www.pompiers.fr
FO-CADRES,"3, avenue de l'Opéra 75001 PARIS France Ile-de-France Paris",01 47 42 39 69,contact@fo-cadres.fr/secretariat@fo-cadres.fr,www.fo-cadres.fr
FOYER ASSURANCES SA,"12, rue Léon Laval L-3372 LEUDELANGE Luxembourg",00 352 437 437,contact@foyer.lu,www.foyer.lu
